项目名称,项目概况,总投资,环保投资,环保投资占比
中国石化长城能源化工（贵州）有限公司60万吨/年聚烯烃项目,项目拟利用毕节市煤炭资源，采用粉煤加压气化、甲醇合成和甲醇制烯烃等技术，生产60万吨/年聚烯烃。项目包括厂内工程和厂外工程。厂内工程包括：（1）主体工程：180万吨/年煤气化、甲醇合成装置、甲醇制烯烃装置、空分装置、线性低密度聚乙烯装置及聚丙烯装置等。（2）储运工程：圆形煤场、石灰石仓、全厂性仓库；新建储罐25座；原料及产品装卸系统等。（3）公用工程：循环水场、凝结水站等。（4）环保工程：污水处理站、各污水处理系列调节罐、各装置废水收集池、事故水收集池等。厂外工程为全长约16公里排污管线。依托工程包括预配置3个煤矿矿井、公路/铁路专用线、园区热电中心、一般固体废物填埋场（渣场）等。总投资约173.07亿元，其中环保投资15.98亿元，占总投资9.23%。,173.07亿元,15.98亿元,9.23%
汉江雅口航运枢纽工程,工程开发任务以航运为主，兼顾发电、灌溉、旅游等综合利用效益。水库正常蓄水位55.22米，死水位54.72米，总库容4.073亿立方米，正常蓄水位时库容3.502亿立方米，调节库容0.415亿立方米，具有日调节性能。正常蓄水位时库区回水长度52.67公里，航道渠化后由现状Ⅳ级提高到Ⅲ级。工程枢纽建筑物由船闸、泄水闸、电站厂房、过鱼设施、土坝等组成。河床径流式电站总装机容量74.2兆瓦（7×10.6兆瓦），多年平均发电量2.53亿千瓦时，年利用小时数4290小时。 工程总投资32.46亿元，环境保护投资约27301.25万元。,32.46亿元,27301.25万元,
贵州省黄家湾水利枢纽工程,工程位于贵州省安顺市紫云县，开发任务以城乡生活和工业供水、农业灌溉为主，并结合发电。水库正常蓄水位1055米，死水位1035米，总库1.573亿立方米，调节库容0.874亿立方米，具有年调节性能。工程建设内容包括水源枢纽工程和灌区及供水工程，水源枢纽工程由混凝土面板堆石坝主坝、混凝土重力坝副坝、泄水建筑物、供水灌溉发电引水建筑物、发电建筑物等组成。主坝最大坝高81米。电站总装机容量24兆瓦（2×9.75兆瓦+1×4.5兆瓦）。干支渠总长95.6公里。工程永久占地823.6公顷，规划水平年工程需生产安置2881人、搬迁安置2871人。工程静态总投资34.14亿元，其中环保投资13460.77万元,34.14亿元,13460.77万元,
上海崇明500千伏输变电工程,（一）新建崇明500千伏变电站。站址位于上海市崇明县，本期建设750兆伏安主变2组，低压电抗器2组、低压电容器2组，500千伏出线2回。 （二）扩建东洲500千伏变电站。站址位于江苏省南通市，本期扩建500千伏出线2回，交换至吕泗电厂I回出线间隔和至崇明II回出线间隔。 （三）新建东洲～崇明500kV输电线路。线路全长约47.6公里，途径上海市崇明县和江苏省南通市。 （四）改造吕泗电厂～东洲双回500kV输电线路。线路全长约1.5公里，位于江苏省南通市。,,,
晋北~南京±800千伏直流受端换流站配套500千伏送出工程,（一）三汊湾-开断点增容工程。仅更换导线，线路全长约55公里，途经江苏省淮安市、南京市和安徽省滁州市。（二）三汊湾-江北锚塔增容工程。仅更换导线和3级杆塔，线路全长约57.5公里，位于江苏省南京市。 （三）江南锚塔-秦淮增容工程。仅更换导线，线路全长约1公里，位于江苏省南京市。,,,
内蒙古吉煤矿业有限公司霍林河二号（达来胡硕）矿井及选煤厂,"项目位于内蒙古自治区通辽市霍林郭勒市达来胡硕区，属霍林河矿区。井田面积 37.74 平方公里，设计规模 600 万吨 / 年，配套建设同等规模选煤厂，服务年限 140.3 年。采用斜 - 立井混合开拓方式，长壁式大采高综采采煤方法，全部陷落法管理顶板。采用重介选煤工艺。设一个矿井工业场地 , 主要建设主斜井、副斜井、进风立井、回风立井、选煤厂等主体工程以及辅助工程，原煤仓、产品仓等储运工程，供水供热及矿井水处理站等公用及环保工程。工程总投资 39.05 亿元，其中环保投资 3923.6 万元，占总投资的 1.0% 。",39.05亿元,3923.6万元,1.0%
宁波 - 舟山港金塘港区木岙集装箱码头一期工程,该工程位于浙江省舟山市金塘岛西侧的木岙湾，新建 2 个 7 万吨级和 1 个 10 万吨级集装箱泊位，码头岸线总长 1100 米。新建引桥 4 座，长 280 米，宽 25 米。设计年吞吐量为 180 万标箱，普通重箱、空箱、冷藏箱分别占设计年吞吐量的 59.9% 、 38.1% 和 2.0% ，不涉及危险品箱。工程疏浚量约 360 万立方米，拟全部吹填至距本工程约 10 公里处的金塘北部区域建设用海规划围区内用于填海造地。本工程不在港区内进行拆洗箱作业。 工程总投资 44.08 亿元，其中环保投资 3408 万元。,44.08亿元,3408万元,2.0%
三峡 — 葛洲坝两坝间莲沱段航道整治工程,工程整治目标为改善莲沱段通航水流条件，提高限制通航流量，改善莲沱段泡漩、回流等碍航副流流态，提高通航安全性。工程分为炸礁工程和深沱抛填工程，炸礁工程包括 7 处炸礁区，炸礁量约 76.4 万立方米。深沱抛填区布置在莲沱弯道深沱沱心的左侧，主要是抛填深沱以左水下较低处河床及深沱内左侧的边坡，用以平顺水下崎岖地形，可容纳 75 万立方米石渣。工程采水下清渣约 72 万立方米，全部抛填至莲沱弯道深沱抛填区。工程配套工程包括新建施工专用标、标志船、自记水位站子站点、数据中心站，改造既有岸标等。 工程总投资约 4.6 亿元，其中环保投资 661 万元，约占工程总投资的 1.44% 。,4.6亿元,661万元,1.44%
献县泛区蓄滞洪区建设与管理工程,工程位于河北省沧州市，主要建设任务是提高蓄滞洪区防洪标准，从而完善海河流域防洪体系。主要建设内容包括献县泛区治理工程和安全建设工程，泛区治理工程包括行洪道复堤工程 7.2 公里 ，除险加固 0.55 公里 ，堤防边坡防护 1.78 公里 ，堤顶路面硬化 34.5 公里 ，分洪口门硬化固化 0.5 公里 ，重建穿堤涵闸 10 座，留楚排干复堤工程 4 公里；安全建设工作包括加高 18 个村庄庄基工程，面积 229. 5 万平方米 ，9 个村围村埝工程，长度 17.6 公里 ，修建撤退路 153 公里 ，新建过水涵洞 4 座，重建桥梁 8 座，新建桥梁 2 座。 工程总投资约 13.87 亿元，其中环保投资 1157.2 万元，占工程总投资的 0.8% 。,13.87亿元,1157.2万元,0.8%
金沙江上游叶巴滩水电站,叶巴滩坝址位于四川省甘孜州和西藏自治区昌都市交界的金沙江上游河段。工程开发任务以发电为主，并促进地区经济社会发展和移民脱贫致富。工程采用混合式开发，总装机容量 230 万千瓦。上游岗托水电站建成前，水库正常蓄水位 2889 米 ，死水位 2855 米 ，正常蓄水位库容 10. 8 亿立方米 ，具有不完全年调节性能；岗托水电站建成后，水库联合运行低水位为 2884 米 ，按日、周调节方式运行 。工程枢纽主要由挡水建筑物、泄水建筑物、引水发电系统等组成。挡水建筑物为混凝土双曲拱坝，最大坝高 217 米 。 工程总投资 389.12 亿元，其中环保投资 118220.29 万元。,389.12亿元,118220.29万元,
四川省巴中市黄石盘水库,工程位于四川省巴中市恩阳区，开发任务以防洪为主，兼顾发电，改善下游供水条件。水库正常蓄水位 372 米 ，死水位和防洪限制水位均为 357 米 ，总库容 1.148 亿立方米，防洪库容 0.7536 亿立方米，具有年调节性能。枢纽由挡水建筑物、泄洪建筑物和引水发电建筑物等组成。挡水建筑物为重力坝，最大坝高 39.8 米 。电站总装机容量 7 兆瓦（ 2 × 3.5 兆瓦）。 总投资 19.77 亿元，其中环保投资 12550.21 万元。,19.77亿元,12550.21万元,
